he look disappointed but he smile,he smile but he look disappointed ,1.000,
he smile but he look disappointed,he look disappointed but he smile ,1.000,
1.000,1.000,

he look disappointed but he smile,he smile but he look disappointed ,1.000,
smile but he look disappointed,he look disappointed but he smile ,1.000,
1.000,1.000,

he look disappointed but he smile,he smile but he look disappointed ,1.000,
but he look disappointed,he look disappointed but he smile ,0.831,
0.831,1.000,

he look disappointed but he smile,he smile but he look disappointed ,1.000,
he look disappointed,he look disappointed but he smile ,0.812,
0.812,1.000,

he look disappointed but he smile,he smile but he look disappointed ,1.000,
look disappointed,he look disappointed but he smile ,0.802,
0.802,1.000,

he look disappointed but he smile,he smile but he look disappointed ,1.000,
disappointed,he look disappointed but he smile ,0.716,
0.716,1.000,

he,he smile but he look disappointed ,0.129,
he,he look disappointed but he smile ,0.129,
1.000,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
he smile but he look disappointed,he look disappointed but he smile ,1.000,
1.000,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
smile but he look disappointed,he look disappointed but he smile ,1.000,
1.000,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
but he look disappointed,he look disappointed but he smile ,0.831,
0.831,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
he look disappointed,he look disappointed but he smile ,0.812,
0.812,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
look disappointed,he look disappointed but he smile ,0.802,
0.802,1.000,

look disappointed but he smile,he smile but he look disappointed ,1.000,
disappointed,he look disappointed but he smile ,0.716,
0.716,1.000,

look,he smile but he look disappointed ,0.360,
look,he look disappointed but he smile ,0.360,
1.000,1.000,

disappointed,he smile but he look disappointed ,0.716,
he smile but he look disappointed,he look disappointed but he smile ,1.000,
0.716,1.000,

disappointed,he smile but he look disappointed ,0.716,
smile but he look disappointed,he look disappointed but he smile ,1.000,
0.716,1.000,

disappointed,he smile but he look disappointed ,0.716,
but he look disappointed,he look disappointed but he smile ,0.831,
0.862,1.000,

disappointed,he smile but he look disappointed ,0.716,
he look disappointed,he look disappointed but he smile ,0.812,
0.882,1.000,

disappointed,he smile but he look disappointed ,0.716,
look disappointed,he look disappointed but he smile ,0.802,
0.893,1.000,

disappointed,he smile but he look disappointed ,0.716,
disappointed,he look disappointed but he smile ,0.716,
1.000,1.000,

but he smile,he smile but he look disappointed ,0.597,
smile,he look disappointed but he smile ,0.556,
0.931,1.000,

but,he smile but he look disappointed ,0.175,
but,he look disappointed but he smile ,0.175,
1.000,1.000,

he smile,he smile but he look disappointed ,0.571,
smile,he look disappointed but he smile ,0.556,
0.974,1.000,

smile,he smile but he look disappointed ,0.556,
smile,he look disappointed but he smile ,0.556,
1.000,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
although they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,1.000,
1.000,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
0.968,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
0.968,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.932,
0.932,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.927,
0.927,1.000,

although they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,1.000,
top tactically,although they do not win the game they come out on top tactically ,0.750,
0.750,1.000,

although,although they come out on top tactically they do not win the game ,0.252,
although,although they do not win the game they come out on top tactically ,0.252,
1.000,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
although they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,1.000,
0.968,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
1.000,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
1.000,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.932,
0.963,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.927,
0.958,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
top tactically,although they do not win the game they come out on top tactically ,0.750,
0.775,1.000,

they do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
tactically,although they do not win the game they come out on top tactically ,0.695,
0.718,1.000,

they,although they come out on top tactically they do not win the game ,0.125,
they,although they do not win the game they come out on top tactically ,0.125,
1.000,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
although they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,1.000,
0.968,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
1.000,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
1.000,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.932,
0.963,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.927,
0.958,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
top tactically,although they do not win the game they come out on top tactically ,0.750,
0.775,1.000,

do not win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.968,
tactically,although they do not win the game they come out on top tactically ,0.695,
0.718,1.000,

do,although they come out on top tactically they do not win the game ,0.171,
do,although they do not win the game they come out on top tactically ,0.171,
1.000,1.000,

not,although they come out on top tactically they do not win the game ,0.114,
not,although they do not win the game they come out on top tactically ,0.114,
1.000,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
although they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,1.000,
0.946,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
they come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
0.977,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
come out on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.968,
0.977,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
on top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.932,
0.938,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
top tactically they do not win the game,although they do not win the game they come out on top tactically ,0.927,
0.932,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
top tactically,although they do not win the game they come out on top tactically ,0.750,
0.793,1.000,

win the game they come out on top tactically,although they come out on top tactically they do not win the game ,0.946,
tactically,although they do not win the game they come out on top tactically ,0.695,
0.735,1.000,

